round,metric,weight,coverage,separation,consistency,consensus,uniqueness,committee_support
34,Recall,0.1667625494,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
35,ACC,0.1040918981,1.0,0.471405,0.5,0.988111,0.162777,0.5197
35,AUPRC,0.1240332424,1.0,0.272166,0.333333,0.97691,0.281524,0.477987
35,BalancedAccuracy,0.1399016058,1.0,0.471405,0.5,0.988111,0.162777,0.5197
35,ECE,0.1415421873,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
35,NPV,0.1645640189,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
35,Precision,0.1591074446,1.0,0.720082,0.833333,0.442646,0.685787,0.71136
35,Recall,0.1667596028,1.0,0.816497,1.0,0.868522,0.250027,0.707529
36,ACC,0.1079226114,1.0,0.816497,1.0,1.0,0.166667,0.671059
36,AUPRC,0.1254709944,1.0,0.816497,1.0,1.0,0.166667,0.671059
36,BalancedAccuracy,0.1394351542,1.0,0.816497,1.0,1.0,0.166667,0.671059
36,ECE,0.1408788659,1.0,0.816497,1.0,1.0,0.166667,0.671059
36,NPV,0.1611380778,1.0,0.816497,1.0,1.0,0.166667,0.671059
36,Precision,0.1592101986,1.0,0.816497,1.0,0.75,0.5,0.789218
36,Recall,0.1659440977,1.0,0.816497,1.0,0.75,0.5,0.789218
37,ACC,0.1144066138,1.0,0.471405,0.5,0.933013,0.637445,0.675054
37,AUPRC,0.1288019018,1.0,0.720082,0.833333,0.594491,0.297894,0.638677
37,BalancedAccuracy,0.1387580376,1.0,0.272166,0.333333,1.0,0.594505,0.557665
37,ECE,0.1372717589,1.0,0.272166,0.333333,0.75,0.309041,0.461911
37,NPV,0.1599306324,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
37,Precision,0.1566711256,1.0,0.816497,1.0,0.25,0.309041,0.575416
37,Recall,0.16415993,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
38,ACC,0.1154678489,1.0,0.471405,0.5,0.888857,0.33934,0.58934
38,AUPRC,0.1281357023,1.0,0.471405,0.5,0.888857,0.33934,0.58934
38,BalancedAccuracy,0.140750279,1.0,0.720082,0.833333,0.992162,0.380018,0.742878
38,ECE,0.1355891765,1.0,0.471405,0.5,0.888857,0.33934,0.58934
38,NPV,0.162182365,1.0,0.816497,1.0,0.814309,0.68503,0.854458
38,Precision,0.1551199942,1.0,0.720082,0.833333,0.822451,0.310846,0.687339
38,Recall,0.1627546342,1.0,0.720082,0.833333,0.669711,0.512185,0.728959
39,ACC,0.1175982451,1.0,0.471405,0.5,0.75,0.220335,0.522518
39,AUPRC,0.131641485,1.0,0.720082,0.833333,0.827327,0.180345,0.617158
39,BalancedAccuracy,0.1414347658,1.0,0.272166,0.333333,0.933013,0.738842,0.574421
39,ECE,0.1327992061,1.0,0.272166,0.333333,0.933013,0.196201,0.440616
39,NPV,0.1592985468,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
39,Precision,0.1574256076,1.0,0.816497,1.0,0.933013,0.196201,0.683768
39,Recall,0.1598021436,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
40,ACC,0.1194729938,1.0,0.471405,0.5,0.75,0.220335,0.522518
40,AUPRC,0.1347265738,1.0,0.720082,0.833333,0.827327,0.180345,0.617158
40,BalancedAccuracy,0.1420371142,1.0,0.272166,0.333333,0.933013,0.738842,0.574421
40,ECE,0.1303440321,1.0,0.272166,0.333333,0.933013,0.196201,0.440616
40,NPV,0.1567607867,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
40,Precision,0.1594545473,1.0,0.816497,1.0,0.933013,0.196201,0.683768
40,Recall,0.1572039519,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
41,ACC,0.1244878707,1.0,0.816497,1.0,0.985363,0.416667,0.803652
41,AUPRC,0.1369624766,1.0,0.816497,1.0,0.638675,0.5,0.76426
41,BalancedAccuracy,0.1443442966,1.0,0.816497,1.0,0.985363,0.416667,0.803652
41,ECE,0.1316528756,1.0,0.816497,1.0,0.846688,0.25,0.70392
41,NPV,0.1548996196,1.0,0.816497,1.0,0.846688,0.25,0.70392
41,Precision,0.1523632559,1.0,0.816497,1.0,0.153312,0.25,0.500143
41,Recall,0.155289605,1.0,0.816497,1.0,0.846688,0.25,0.70392
42,ACC,0.1275688679,1.0,0.471405,0.5,0.933013,0.307114,0.583325
42,AUPRC,0.1337481781,1.0,0.272166,0.333333,0.25,0.633193,0.427994
42,BalancedAccuracy,0.1450425227,1.0,0.471405,0.5,0.933013,0.307114,0.583325
42,ECE,0.1359710208,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
42,NPV,0.1564281555,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
42,Precision,0.144141262,1.0,0.720082,0.833333,0.027544,0.221786,0.325712
42,Recall,0.1570999929,1.0,0.816497,1.0,1.0,0.155536,0.661846
43,ACC,0.1316122399,1.0,0.816497,1.0,0.985363,0.416667,0.803652
43,AUPRC,0.1361014884,1.0,0.816497,1.0,0.638675,0.5,0.76426
43,BalancedAccuracy,0.1469890561,1.0,0.816497,1.0,0.985363,0.416667,0.803652
43,ECE,0.1366046256,1.0,0.816497,1.0,0.846688,0.25,0.70392
43,NPV,0.1546069041,1.0,0.816497,1.0,0.846688,0.25,0.70392
43,Precision,0.1388875648,1.0,0.816497,1.0,0.153312,0.25,0.500143
43,Recall,0.1551981211,1.0,0.816497,1.0,0.846688,0.25,0.70392
44,ACC,0.130274678,1.0,0.471405,0.5,0.99099,0.195002,0.539131
44,AUPRC,0.1342252167,1.0,0.471405,0.5,0.99099,0.195002,0.539131
44,BalancedAccuracy,0.1466230185,1.0,0.720082,0.833333,1.0,0.184858,0.644181
44,ECE,0.1346679774,1.0,0.471405,0.5,0.99099,0.195002,0.539131
44,NPV,0.1554898379,1.0,0.816497,1.0,0.972456,0.252017,0.724854
44,Precision,0.1419113584,1.0,0.720082,0.833333,0.75,0.474509,0.734347
44,Recall,0.1568079131,1.0,0.720082,0.833333,0.75,0.543682,0.754608
45,ACC,0.1340764324,1.0,0.471405,0.5,0.933013,0.637445,0.675054
45,AUPRC,0.1365056174,1.0,0.720082,0.833333,0.594491,0.297894,0.638677
45,BalancedAccuracy,0.1450833581,1.0,0.272166,0.333333,1.0,0.594505,0.557665
45,ECE,0.131806177,1.0,0.272166,0.333333,0.75,0.309041,0.461911
45,NPV,0.1549601814,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
45,Precision,0.1414481462,1.0,0.816497,1.0,0.25,0.309041,0.575416
45,Recall,0.1561200876,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
46,ACC,0.1374219762,1.0,0.471405,0.5,0.933013,0.637445,0.675054
46,AUPRC,0.13851237,1.0,0.720082,0.833333,0.594491,0.297894,0.638677
46,BalancedAccuracy,0.1437284571,1.0,0.272166,0.333333,1.0,0.594505,0.557665
46,ECE,0.1292877926,1.0,0.272166,0.333333,0.75,0.309041,0.461911
46,NPV,0.1544940836,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
46,Precision,0.1410405195,1.0,0.816497,1.0,0.25,0.309041,0.575416
46,Recall,0.155514801,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
47,ACC,0.1223233405,1.0,0.0,0.25,0.5,1.0,0.041628
47,AUPRC,0.1355579,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
47,BalancedAccuracy,0.1439783009,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
47,ECE,0.1312705162,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
