round,model,score,rank
6,AMPsorter,0.4473438469,11
6,lstm,0.4332612877,12
6,ampir,0.4200576944,13
6,amPEPpy,0.3806093802,14
6,esm-AxP-GDL,0.341733274,15
6,iampcn,0.2842409337,16
6,apex1.1,0.2592007998,17
6,iamp-ca2l,0.0498202576,18
7,C_AMPs-predict,0.7676159945,1
7,amplify_bal,0.7385750933,2
7,pepnet_standard,0.7277121502,3
7,pepnet_fast,0.6707114751,4
7,amplify_imb,0.6538668975,5
7,macrel,0.5811317453,6
7,AMPsorter,0.5628798939,7
7,HMD-AMP,0.5521486351,8
7,ascan2,0.4969288671,9
7,esm-AxP-GDL,0.4965503209,10
7,amPEPpy,0.4639769278,11
7,ai4amp,0.4603540593,12
7,lstm,0.4189317468,13
7,apin,0.3988754368,14
7,apex1.1,0.3382329559,15
7,ampir,0.3272660681,16
7,iampcn,0.3140745788,17
7,iamp-ca2l,0.0301671538,18
8,pepnet_standard,0.7420754044,1
8,HMD-AMP,0.6832093223,2
8,C_AMPs-predict,0.6786734134,3
8,amplify_imb,0.677698467,4
8,amplify_bal,0.6414212703,5
8,AMPsorter,0.6345162178,6
8,pepnet_fast,0.6061714304,7
8,macrel,0.5817920647,8
8,esm-AxP-GDL,0.5263469766,9
8,ascan2,0.4909490631,10
8,ai4amp,0.4642240888,11
8,lstm,0.4471991601,12
8,apin,0.4302070646,13
8,amPEPpy,0.3939439847,14
8,iampcn,0.3925289662,15
8,ampir,0.3090314049,16
8,apex1.1,0.2699766469,17
8,iamp-ca2l,0.0300350537,18
9,C_AMPs-predict,0.766858609,1
9,amplify_bal,0.738703098,2
9,pepnet_standard,0.7274994265,3
9,pepnet_fast,0.6706787419,4
9,amplify_imb,0.6542488173,5
9,macrel,0.5806645872,6
9,AMPsorter,0.5621860753,7
9,HMD-AMP,0.5521361596,8
9,ascan2,0.49718144,9
9,esm-AxP-GDL,0.4970348944,10
9,amPEPpy,0.4640297621,11
9,ai4amp,0.4598927159,12
9,lstm,0.4195382139,13
9,apin,0.3989237596,14
9,apex1.1,0.3375054886,15
9,ampir,0.3275045213,16
9,iampcn,0.3151942192,17
9,iamp-ca2l,0.0302194703,18
10,HMD-AMP,0.8122775166,1
10,pepnet_standard,0.7761548125,2
10,ascan2,0.7015174964,3
10,macrel,0.6724703606,4
10,amplify_bal,0.6111695253,5
10,C_AMPs-predict,0.6018620536,6
10,amplify_imb,0.5719529436,7
10,apin,0.5584950831,8
10,ai4amp,0.5254900411,9
10,AMPsorter,0.5186658714,10
10,pepnet_fast,0.500146167,11
10,lstm,0.4617062261,12
10,ampir,0.4017287896,13
10,esm-AxP-GDL,0.3718077367,14
10,iampcn,0.3634418769,15
10,amPEPpy,0.3109745759,16
10,apex1.1,0.1904597112,17
10,iamp-ca2l,0.0496792125,18
11,pepnet_standard,0.7417955088,1
11,HMD-AMP,0.6830090097,2
11,C_AMPs-predict,0.67834618,3
11,amplify_imb,0.6776423154,4
11,amplify_bal,0.6412863533,5
11,AMPsorter,0.6341833317,6
11,pepnet_fast,0.6060816321,7
11,macrel,0.5815608355,8
11,esm-AxP-GDL,0.5263873976,9
11,ascan2,0.4910352263,10
11,ai4amp,0.464122218,11
11,lstm,0.4474804801,12
11,apin,0.4301765711,13
11,amPEPpy,0.3940360358,14
11,iampcn,0.3929354812,15
11,ampir,0.3091554953,16
11,apex1.1,0.2706744104,17
11,iamp-ca2l,0.0300915176,18
12,pepnet_standard,0.7416354617,1
12,HMD-AMP,0.6828895332,2
12,C_AMPs-predict,0.678143456,3
12,amplify_imb,0.677647675,4
12,amplify_bal,0.6412248536,5
12,AMPsorter,0.6339526952,6
12,pepnet_fast,0.6060350109,7
12,macrel,0.5814220252,8
12,esm-AxP-GDL,0.5264428006,9
12,ascan2,0.491090883,10
12,ai4amp,0.4640127152,11
12,lstm,0.4476604147,12
12,apin,0.4301512894,13
12,amPEPpy,0.3940708612,14
12,iampcn,0.3932582229,15
12,ampir,0.3092317615,16
12,apex1.1,0.2710071044,17
12,iamp-ca2l,0.0301232364,18
13,pepnet_standard,0.7414946202,1
13,HMD-AMP,0.6827843939,2
13,C_AMPs-predict,0.6779650588,3
13,amplify_imb,0.6776523913,4
13,amplify_bal,0.6411707338,5
13,AMPsorter,0.633749735,6
13,pepnet_fast,0.6059939843,7
13,macrel,0.581299872,8
13,esm-AxP-GDL,0.5264915552,9
13,ascan2,0.4911398609,10
13,ai4amp,0.4639163528,11
13,lstm,0.4478187572,12
13,apin,0.4301290415,13
13,amPEPpy,0.3941015077,14
13,iampcn,0.3935422356,15
13,ampir,0.3092988759,16
13,apex1.1,0.2712998752,17
13,iamp-ca2l,0.030151149,18
14,amplify_imb,0.7832975151,1
14,C_AMPs-predict,0.7545790399,2
14,AMPsorter,0.7493274697,3
14,pepnet_fast,0.7118184199,4
14,pepnet_standard,0.707470805,5
14,esm-AxP-GDL,0.6812897982,6
14,amplify_bal,0.6713862964,7
14,HMD-AMP,0.5540500877,8
14,macrel,0.4904428179,9
14,amPEPpy,0.476867076,10
14,lstm,0.4335615557,11
14,iampcn,0.4228820042,12
14,ai4amp,0.4027176054,13
14,apex1.1,0.3500566196,14
14,apin,0.3021907935,15
14,ascan2,0.2807950675,16
14,ampir,0.2167794122,17
14,iamp-ca2l,0.010487616,18
15,pepnet_standard,0.7415273633,1
15,HMD-AMP,0.6827848401,2
15,C_AMPs-predict,0.6778665915,3
15,amplify_imb,0.6778271813,4
15,amplify_bal,0.6412430934,5
15,AMPsorter,0.6335867743,6
15,pepnet_fast,0.6060217129,7
15,macrel,0.581213971,8
15,esm-AxP-GDL,0.5266232754,9
15,ascan2,0.4911550719,10
15,ai4amp,0.4637492676,11
15,lstm,0.4479110103,12
15,apin,0.4301007761,13
15,amPEPpy,0.3940680302,14
15,iampcn,0.3939126634,15
15,ampir,0.3092940492,16
15,apex1.1,0.2709722728,17
15,iamp-ca2l,0.0301420553,18
16,AMPsorter,0.893721307,1
16,amplify_imb,0.8303430858,2
16,HMD-AMP,0.8159450275,3
16,esm-AxP-GDL,0.7398623483,4
16,pepnet_standard,0.7368823939,5
16,pepnet_fast,0.5829527158,6
16,C_AMPs-predict,0.5787263355,7
16,iampcn,0.5766503005,8
16,macrel,0.4935204955,9
16,lstm,0.488346553,10
16,amplify_bal,0.477147016,11
16,ai4amp,0.4116520559,12
