rank,combo,median_score,mean_score,score_iqr,median_rank,mean_rank,top3_frequency,mean_AUPRC,mean_MCC,mean_Precision,mean_Recall,worst_dataset_AUPRC,worst_dataset_MCC
255,amplify_imb + pepnet_fast + pepnet_standard,0.6024023345302287,0.6055252863019199,0.09527094058415042,255.0,270.64,0.0,0.9301330859634788,0.7200524427602543,0.7251487629052011,0.8897843026796117,0.8735655935090932,0.6303099870815678
256,ai4amp + esm-AxP-GDL + lstm,0.6022534072314134,0.6174986346066177,0.0895437237117036,256.0,254.18,0.0,0.9437330818461452,0.6712435224317875,0.651913102414896,0.9253314828028424,0.8963367302159476,0.39772496059545165
257,AMPsorter + C_AMPs-predict + iampcn,0.6018628592116013,0.6241353522283906,0.19009106465175651,257.0,254.02,0.0,0.9434313567419789,0.7541258248748025,0.7760164287691579,0.8898404822806222,0.8874932534196047,0.6992694473791797
258,amplify_bal + apex1.1 + HMD-AMP,0.6013902223120915,0.5864197607935049,0.08225125585477933,258.0,289.88,0.0,0.9206040969551177,0.7941628308956906,0.8825838750952552,0.810276897852405,0.8452317718313578,0.7026423487181273
259,esm-AxP-GDL + iampcn + pepnet_standard,0.6005647941104983,0.6229440332250408,0.1798344719684436,259.0,251.62,0.0,0.979627541734018,0.6769020336581258,0.632450929264425,0.9830118473051198,0.9659371011550557,0.5378039453628036
260,ampir + amplify_imb + AMPsorter,0.6000737633803105,0.6166985286585376,0.129252103554943,260.0,257.7,0.0,0.9163981372565084,0.7501910502308161,0.747427070432796,0.9039540581927347,0.827982632196748,0.6362163561732507
261,ascan2 + macrel + pepnet_fast,0.6000072570159314,0.5871323558658905,0.1304666739792688,266.0,298.22,0.0,0.9134875728444743,0.7135035366860941,0.7191400347747087,0.8672531575776633,0.8466700712628086,0.5079778783024333
262,amPEPpy + C_AMPs-predict + lstm,0.5997092540247141,0.5896840456700163,0.12046439825112337,268.0,289.94,0.0,0.942547272385864,0.7818234512998955,0.832235472869252,0.8645484484132885,0.9147460219290898,0.7087839586762271
263,ampir + amplify_imb + esm-AxP-GDL,0.5993717757506127,0.6156858350209149,0.14927648384906045,263.0,260.6,0.0,0.967903967142916,0.7003454004136467,0.6660885987196811,0.9547236031585985,0.9548584119667178,0.5731330259535581
264,apin + pepnet_fast + pepnet_standard,0.5983430919914217,0.5934731728279004,0.049012272342218166,264.0,285.62,0.0,0.9142728572115181,0.7276902073338242,0.7324747054304691,0.876014869746878,0.8513655004491213,0.5655605400212993
